Protein IDs,Majority protein IDs,Gene names,Protein names,Peptides,Sequence coverage [%],Mol. weight [kDa]
A6NJ78;P0C7V9,A6NJ78,METTL15,Probable methyltransferase-like protein 15,4,13.8,46.121
Q9UFD9;A6NNM3;A6NJZ7,Q9UFD9;A6NNM3;A6NJZ7,RIMBP3;RIMBP3B;RIMBP3C,RIMS-binding protein 3A;RIMS-binding protein 3B;RIMS-binding protein 3C,1,0.7,180.72
A6NK02,A6NK02,TRIM75P,Putative tripartite motif-containing protein 75,1,3.0,53.677
A6NKD9,A6NKD9,CCDC85C,Coiled-coil domain-containing protein 85C,2,8.1,45.209
A6NKG5,A6NKG5,RTL1,Retrotransposon-like protein 1,20,21.4,155.05
A6NKT7,A6NKT7,RGPD3,RanBP2-like and GRIP domain-containing protein 3,22,14.4,197.48
A6NMB9,A6NMB9,FIGNL2,Putative fidgetin-like protein 2,2,5.1,66.603
A7E2V4,A7E2V4,ZSWIM8,Zinc finger SWIM domain-containing protein 8,4,3.3,197.3
A8CG34;Q96HA1;Q6PJE2;A6NF01,A8CG34;Q96HA1,POM121C;POM121,Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121,6,9.8,125.09
Q9NQA3;C4AMC7;Q6VEQ5;A8K0Z3;A8MWX3,Q9NQA3;C4AMC7;Q6VEQ5;A8K0Z3;A8MWX3,WASH6P;WASH3P;WASH2P;WASH1;WASH4P,WAS protein family homolog 6;Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 1;Putative WAS protein family homolog 4,4,8.1,47.989
A8K855,A8K855,EFCAB7,EF-hand calcium-binding domain-containing protein 7,5,7.6,71.981
A8MVW0,A8MVW0,FAM171A2,Protein FAM171A2,3,4.2,87.434
A8MW92,A8MW92,PHF20L1,PHD finger protein 20-like protein 1,1,0.9,115.01
P62308;A8MWD9,P62308;A8MWD9,SNRPG;SNRPGP15,Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15,1,17.1,8.496
A8MWY0,A8MWY0,KIAA1324L,UPF0577 protein KIAA1324-like,6,9.8,113.84
A8MXV4,A8MXV4,NUDT19,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",4,13.3,42.233
A9UHW6,A9UHW6,MIF4GD,MIF4G domain-containing protein,2,13.5,25.423
B1AK53,B1AK53,ESPN,Espin,6,8.1,91.732
B2RTY4,B2RTY4,MYO9A,Unconventional myosin-IXa,5,2.7,292.7
B3KNS4,B3KNS4,hCG_2043597,,1,19.3,11.601
P0CG08;B7ZAQ6,P0CG08;B7ZAQ6,GPR89B;GPR89A,Golgi pH regulator B;Golgi pH regulator A,2,5.3,52.916
C9JLW8,C9JLW8,FAM195B,Protein FAM195B,4,50.5,10.92
E9PAV3;Q9H009,E9PAV3,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",8,4.0,205.42
H3BP13;Q9UL33,H3BP13;Q9UL33,TRAPPC2L,Trafficking protein particle complex subunit 2-like protein,4,15.4,27.302
L0R819,L0R819,ASNSD1,,2,20.8,11.25
M5A8F1,M5A8F1,ERVH48-1,Suppressyn,2,18.8,18.128
O00115,O00115,DNASE2,Deoxyribonuclease-2-alpha,7,17.8,39.58
O00116,O00116,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",22,43.2,72.911
O00139,O00139,KIF2A,Kinesin-like protein KIF2A,21,32.4,79.954
O00148,O00148,DDX39A,ATP-dependent RNA helicase DDX39A,18,47.8,49.129
O00151,O00151,PDLIM1,PDZ and LIM domain protein 1,10,46.5,36.071
O00154,O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,13,41.6,41.796
O00159,O00159,MYO1C,Unconventional myosin-Ic,8,9.9,121.68
O00161,O00161,SNAP23,Synaptosomal-associated protein 23,6,47.4,23.354
O00165,O00165,HAX1,HCLS1-associated protein X-1,1,3.9,31.62
O00170,O00170,AIP,AH receptor-interacting protein,9,38.2,37.636
O00178,O00178,GTPBP1,GTP-binding protein 1,15,29.1,72.453
O00180,O00180,KCNK1,Potassium channel subfamily K member 1,1,6.0,38.143
O00186,O00186,STXBP3,Syntaxin-binding protein 3,13,26.5,67.764
O00192,O00192,ARVCF,Armadillo repeat protein deleted in velo-cardio-facial syndrome,11,18.1,104.64
O00193,O00193,SMAP,Small acidic protein,4,33.9,20.332
O00194,O00194,RAB27B,Ras-related protein Rab-27B,2,9.6,24.608
O00203,O00203,AP3B1,AP-3 complex subunit beta-1,21,21.8,121.32
O00213,O00213,APBB1,Amyloid beta A4 precursor protein-binding family B member 1,6,12.5,77.243
O00214,O00214,LGALS8,Galectin-8,2,6.0,35.808
O00217,O00217,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",4,25.7,23.705
O00231,O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,26,64.5,47.463
O00232,O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12,19,43.9,52.904
O00233,O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,9,38.1,24.682
O00244,O00244,ATOX1,Copper transport protein ATOX1,5,76.5,7.4016
O00253,O00253,AGRP,Agouti-related protein,1,9.8,14.44
O00255,O00255,MEN1,Menin,2,4.1,68.023
O00257,O00257,CBX4,E3 SUMO-protein ligase CBX4,2,3.2,61.367
O00258,O00258,WRB,Tail-anchored protein insertion receptor WRB,2,17.2,19.779
O00264,O00264,PGRMC1,Membrane-associated progesterone receptor component 1,13,50.3,21.671
O00267,O00267,SUPT5H,Transcription elongation factor SPT5,17,21.2,121.0
O00268,O00268,TAF4,Transcription initiation factor TFIID subunit 4,3,3.5,110.11
O00273,O00273,DFFA,DNA fragmentation factor subunit alpha,6,24.5,36.521
O00291,O00291,HIP1,Huntingtin-interacting protein 1,15,19.3,116.22
O00292,O00292,LEFTY2,Left-right determination factor 2,6,19.4,40.92
O00299,O00299,CLIC1,Chloride intracellular channel protein 1,18,86.3,26.922
O00303,O00303,EIF3F,Eukaryotic translation initiation factor 3 subunit F,10,35.3,37.563
O00308,O00308,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2,1,1.4,98.911
O00311,O00311,CDC7,Cell division cycle 7-related protein kinase,1,2.3,63.887
O00330,O00330,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",12,31.1,54.122
O00399,O00399,DCTN6,Dynactin subunit 6,4,27.9,20.747
O00400,O00400,SLC33A1,Acetyl-coenzyme A transporter 1,2,5.1,60.908
O00401,O00401,WASL,Neural Wiskott-Aldrich syndrome protein,4,7.7,54.826
O00410,O00410,IPO5,Importin-5,33,45.2,123.63
O00411,O00411,POLRMT,"DNA-directed RNA polymerase, mitochondrial",5,5.9,138.62
O00422,O00422,SAP18,Histone deacetylase complex subunit SAP18,7,49.7,17.561
O00423,O00423,EML1,Echinoderm microtubule-associated protein-like 1,7,10.7,89.86
O00425,O00425,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,26,50.8,63.704
O00429,O00429,DNM1L,Dynamin-1-like protein,25,46.2,81.876
O00442,O00442,RTCA,RNA 3-terminal phosphate cyclase,5,17.2,39.336
O00443,O00443,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,6,3.6,190.68
O00458,O00458,IFRD1,Interferon-related developmental regulator 1,2,3.8,50.268
O00459,O00459,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,3,3.6,81.544
O00461,O00461,GOLIM4,Golgi integral membrane protein 4,6,9.9,81.879
O00462,O00462,MANBA,Beta-mannosidase,11,15.7,100.89
O00468,O00468,AGRN,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,46,32.3,217.32
O00469,O00469,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",8,12.8,84.685
O00471,O00471,EXOC5,Exocyst complex component 5,9,14.5,81.852
O00478;P78410;O00481,O00478,BTN3A3,Butyrophilin subfamily 3 member A3,5,12.0,65.001
O00483,O00483,NDUFA4,Cytochrome c oxidase subunit NDUFA4,4,46.9,9.3697
O00487,O00487,PSMD14,26S proteasome non-ATPase regulatory subunit 14,9,35.8,34.577
O00499;Q9UBW5,O00499,BIN1,Myc box-dependent-interacting protein 1,11,28.5,64.699
O00505,O00505,KPNA3,Importin subunit alpha-4,9,25.0,57.81
O00507,O00507,USP9Y,Probable ubiquitin carboxyl-terminal hydrolase FAF-Y,22,9.5,291.07
O00512,O00512,BCL9,B-cell CLL/lymphoma 9 protein,3,3.3,149.29
O00533,O00533,CHL1,Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein,14,16.1,135.07
O00534,O00534,VWA5A,von Willebrand factor A domain-containing protein 5A,10,15.3,86.488
O00541,O00541,PES1,Pescadillo homolog,12,23.6,68.002
O00559,O00559,EBAG9,Receptor-binding cancer antigen expressed on SiSo cells,1,8.9,24.377
O00560,O00560,SDCBP,Syntenin-1,8,45.3,32.444
O00562,O00562,PITPNM1,Membrane-associated phosphatidylinositol transfer protein 1,9,12.5,134.85
O00566,O00566,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10,6,14.4,78.863
O00567,O00567,NOP56,Nucleolar protein 56,29,63.6,66.049
O00571;Q9NQI0,O00571,DDX3X,ATP-dependent RNA helicase DDX3X,24,39.7,73.243
O00584,O00584,RNASET2,Ribonuclease T2,9,34.4,29.48
O00592,O00592,PODXL,Podocalyxin,5,9.3,58.635
O00622,O00622,CYR61,Protein CYR61,3,10.2,42.026
O00623,O00623,PEX12,Peroxisome assembly protein 12,2,10.6,40.797
O00625,O00625,PIR,Pirin,6,26.6,32.113
O00629,O00629,KPNA4,Importin subunit alpha-3,6,20.5,57.886
O00634,O00634,NTN3,Netrin-3,2,3.3,61.465
O00712,O00712,NFIB,Nuclear factor 1 B-type,4,12.1,47.441
O00743,O00743,PPP6C,"Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed",5,18.0,35.144
O00750,O00750,PIK3C2B,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,6,5.4,184.77
O00754,O00754,MAN2B1,Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide,22,27.4,113.74
O00755,O00755,WNT7A,Protein Wnt-7a,12,36.7,39.005
O00762,O00762,UBE2C,Ubiquitin-conjugating enzyme E2 C,5,43.0,19.652
O00764,O00764,PDXK,Pyridoxal kinase,10,39.4,35.102
O00767,O00767,SCD,Acyl-CoA desaturase,3,10.9,41.522
O14490,O14490,DLGAP1,Disks large-associated protein 1,2,2.8,108.87
O14497,O14497,ARID1A,AT-rich interactive domain-containing protein 1A,19,12.9,242.04
O14521,O14521,SDHD,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",2,5.0,17.043
O14530,O14530,TXNDC9,Thioredoxin domain-containing protein 9,8,42.9,26.534
O14531,O14531,DPYSL4,Dihydropyrimidinase-related protein 4,28,66.8,61.877
O14545,O14545,TRAFD1,TRAF-type zinc finger domain-containing protein 1,5,11.3,64.84
O14548,O14548,COX7A2L,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",5,54.4,12.615
O14561,O14561,NDUFAB1,"Acyl carrier protein, mitochondrial",3,15.4,17.417
O14562,O14562,UBFD1,Ubiquitin domain-containing protein UBFD1,10,43.0,33.382
O14578,O14578,CIT,Citron Rho-interacting kinase,3,1.9,231.43
O14579,O14579,COPE,Coatomer subunit epsilon,9,38.0,34.482
O14594,O14594,NCAN,Neurocan core protein,1,1.0,143.09
O14607;O15550,O14607;O15550,UTY;KDM6A,Histone demethylase UTY;Lysine-specific demethylase 6A,3,2.4,149.55
O14617,O14617,AP3D1,AP-3 complex subunit delta-1,20,19.9,130.16
O14618,O14618,CCS,Copper chaperone for superoxide dismutase,6,24.1,29.04
O14628,O14628,ZNF195,Zinc finger protein 195,1,1.9,72.331
O14639,O14639,ABLIM1,Actin-binding LIM protein 1,4,7.2,87.687
O14641,O14641,DVL2,Segment polarity protein dishevelled homolog DVL-2,4,6.2,78.947
O14645,O14645,DNALI1,Axonemal dynein light intermediate polypeptide 1,2,7.4,29.662
O14646,O14646,CHD1,Chromodomain-helicase-DNA-binding protein 1,22,17.8,196.69
O14647,O14647,CHD2,Chromodomain-helicase-DNA-binding protein 2,17,9.4,211.34
O14653,O14653,GOSR2,Golgi SNAP receptor complex member 2,2,9.9,24.775
O14656,O14656,TOR1A,Torsin-1A,10,35.5,37.808
O14657,O14657,TOR1B,Torsin-1B,6,19.3,37.978
O14662,O14662,STX16,Syntaxin-16,2,8.6,37.031
O14672,O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,9,15.8,84.141
O14681,O14681,EI24,Etoposide-induced protein 2.4 homolog,3,10.3,38.964
O14683,O14683,TP53I11,Tumor protein p53-inducible protein 11,2,13.2,21.054
O14686,O14686,KMT2D,Histone-lysine N-methyltransferase 2D,1,0.2,593.38
O14713,O14713,ITGB1BP1,Integrin beta-1-binding protein 1,1,7.5,21.782
Q99666;O14715,Q99666;O14715,RGPD5;RGPD8,RANBP2-like and GRIP domain-containing protein 5/6;RANBP2-like and GRIP domain-containing protein 8,20,13.3,198.92
O14727,O14727,APAF1,Apoptotic protease-activating factor 1,3,3.4,141.84
O14730,O14730,RIOK3,Serine/threonine-protein kinase RIO3,4,10.8,59.092
O14732,O14732,IMPA2,Inositol monophosphatase 2,2,7.6,31.321
O14734,O14734,ACOT8,Acyl-coenzyme A thioesterase 8,2,6.3,35.914
O14737,O14737,PDCD5,Programmed cell death protein 5,7,46.4,14.285
O14744,O14744,PRMT5,"Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed",14,27.6,72.683
O14745,O14745,SLC9A3R1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,8,30.4,38.868
O14757,O14757,CHEK1,Serine/threonine-protein kinase Chk1,4,10.3,54.433
O14763,O14763,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,3,12.3,47.878
O14770,O14770,MEIS2,Homeobox protein Meis2,3,4.8,51.789
O14772,O14772,FPGT,Fucose-1-phosphate guanylyltransferase,2,4.8,68.009
O14773,O14773,TPP1,Tripeptidyl-peptidase 1,6,14.0,61.247
O14776;Q5VWI1,O14776,TCERG1,Transcription elongation regulator 1,27,25.6,123.9
O14777,O14777,NDC80,Kinetochore protein NDC80 homolog,9,16.5,73.912
O14786,O14786,NRP1,Neuropilin-1,5,8.0,103.13
O14787,O14787,TNPO2,Transportin-2,16,22.5,101.39
O14795;Q9UPW8;Q8NB66,O14795,UNC13B,Protein unc-13 homolog B,9,7.6,180.68
O14802,O14802,POLR3A,DNA-directed RNA polymerase III subunit RPC1,9,7.7,155.64
O14810,O14810,CPLX1,Complexin-1,2,23.1,15.03
O14818,O14818,PSMA7,Proteasome subunit alpha type-7,14,58.1,27.887
O14828,O14828,SCAMP3,Secretory carrier-associated membrane protein 3,4,15.6,38.287
O14832,O14832,PHYH,"Phytanoyl-CoA dioxygenase, peroxisomal",2,5.9,38.538
O14874,O14874,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",5,14.8,46.36
O14879,O14879,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,2,5.5,55.984
O14893,O14893,GEMIN2,Gem-associated protein 2,5,27.9,31.585
O14907,O14907,TAX1BP3,Tax1-binding protein 3,3,29.0,13.735
O14908,O14908,GIPC1,PDZ domain-containing protein GIPC1,3,10.8,36.049
O14910,O14910,LIN7A,Protein lin-7 homolog A,7,33.0,25.996
O14920,O14920,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,7,12.6,86.563
O14925;Q5SRD1,O14925;Q5SRD1,TIMM23;TIMM23B,Mitochondrial import inner membrane translocase subunit Tim23;Putative mitochondrial import inner membrane translocase subunit Tim23B,2,12.0,21.943
O14929,O14929,HAT1,Histone acetyltransferase type B catalytic subunit,8,22.2,49.512
O14933,O14933,UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6,3,32.7,17.769
O14936,O14936,CASK,Peripheral plasma membrane protein CASK,17,21.4,105.12
O14939,O14939,PLD2,Phospholipase D2,2,2.6,105.99
O14949,O14949,UQCRQ,Cytochrome b-c1 complex subunit 8,4,39.0,9.9062
P19105;O14950;P24844,P19105;O14950;P24844,MYL12A;MYL12B;MYL9,Myosin regulatory light chain 12A;Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9,10,66.7,19.794
O14957,O14957,UQCR11,Cytochrome b-c1 complex subunit 10,1,21.4,6.5696
O14964,O14964,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,13,23.3,86.191
O14966,O14966,RAB29,Ras-related protein Rab-7L1,3,20.2,23.155
O14967,O14967,CLGN,Calmegin,9,23.4,70.038
O14972,O14972,DSCR3,Down syndrome critical region protein 3,3,14.5,33.01
O14974,O14974,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,18,25.4,115.28
O14976,O14976,GAK,Cyclin-G-associated kinase,11,9.2,143.19
O14979,O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,10,22.4,46.437
O14980,O14980,XPO1,Exportin-1,32,34.5,123.38
O14981,O14981,BTAF1,TATA-binding protein-associated factor 172,12,9.1,206.89
O14994,O14994,SYN3,Synapsin-3,7,17.6,63.302
O15014,O15014,ZNF609,Zinc finger protein 609,3,3.0,151.19
O15020,O15020,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",28,15.7,271.32
O15027,O15027,SEC16A,Protein transport protein Sec16A,26,16.6,251.89
O15031;O60486,O15031,PLXNB2,Plexin-B2,27,19.3,205.12
O15040,O15040,TECPR2,Tectonin beta-propeller repeat-containing protein 2,1,1.3,153.85
O15042,O15042,U2SURP,U2 snRNP-associated SURP motif-containing protein,14,15.3,118.29
O15047,O15047,SETD1A,Histone-lysine N-methyltransferase SETD1A,3,1.5,186.03
O15054,O15054,KDM6B,Lysine-specific demethylase 6B,3,2.4,176.63
O15061,O15061,SYNM,Synemin,42,37.8,172.77
O15066;O14782;Q9BVG8,O15066,KIF3B,"Kinesin-like protein KIF3B;Kinesin-like protein KIF3B, N-terminally processed",16,28.1,85.124
O15067,O15067,PFAS,Phosphoribosylformylglycinamidine synthase,15,16.7,144.73
O15068,O15068,MCF2L,Guanine nucleotide exchange factor DBS,4,4.8,128.11
O15069,O15069,NACAD,NAC-alpha domain-containing protein 1,13,11.8,161.1
O15075,O15075,DCLK1,Serine/threonine-protein kinase DCLK1,28,46.8,82.223
O15083,O15083,ERC2,ERC protein 2,5,5.0,110.56
O15084,O15084,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,7,11.7,112.96
O15085,O15085,ARHGEF11,Rho guanine nucleotide exchange factor 11,5,3.9,167.7
O15091,O15091,KIAA0391,Mitochondrial ribonuclease P protein 3,8,16.8,67.315
O15111,O15111,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,5,6.2,84.639
O15116,O15116,LSM1,U6 snRNA-associated Sm-like protein LSm1,4,48.9,15.179
O15118,O15118,NPC1,Niemann-Pick C1 protein,8,8.1,142.17
O15121,O15121,DEGS1,Sphingolipid delta(4)-desaturase DES1,2,10.2,37.866
O15126,O15126,SCAMP1,Secretory carrier-associated membrane protein 1,8,36.7,37.92
O15131,O15131,KPNA5,Importin subunit alpha-6,11,20.3,60.348
O15143,O15143,ARPC1B,Actin-related protein 2/3 complex subunit 1B,11,42.2,40.949
O15144,O15144,ARPC2,Actin-related protein 2/3 complex subunit 2,13,55.7,34.333
O15145,O15145,ARPC3,Actin-related protein 2/3 complex subunit 3,8,40.4,20.546
O15155,O15155,BET1,BET1 homolog,2,24.6,13.289
O15160,O15160,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,7,25.4,39.249
O15164,O15164,TRIM24,Transcription intermediary factor 1-alpha,10,14.4,116.83
O15173,O15173,PGRMC2,Membrane-associated progesterone receptor component 2,7,27.4,23.818
O15212,O15212,PFDN6,Prefoldin subunit 6,5,48.1,14.582
O15213,O15213,WDR46,WD repeat-containing protein 46,9,21.0,68.07
O15217,O15217,GSTA4,Glutathione S-transferase A4,7,33.3,25.704
O15226,O15226,NKRF,NF-kappa-B-repressing factor,12,19.9,77.672
O15228,O15228,GNPAT,Dihydroxyacetone phosphate acyltransferase,12,23.2,77.187
O15230,O15230,LAMA5,Laminin subunit alpha-5,9,3.4,399.73
O15231,O15231,ZNF185,Zinc finger protein 185,26,49.6,73.525
O15234,O15234,CASC3,Protein CASC3,2,7.5,76.277
O15240,O15240,VGF,Neurosecretory protein VGF;Neuroendocrine regulatory peptide-1;Neuroendocrine regulatory peptide-2;Antimicrobial peptide VGF[554-577],27,53.7,67.257
O15254,O15254,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3,8,15.6,77.628
O15258,O15258,RER1,Protein RER1,4,28.6,22.958
O15260,O15260,SURF4,Surfeit locus protein 4,4,13.4,30.394
O15269,O15269,SPTLC1,Serine palmitoyltransferase 1,9,20.1,52.743
