Protein_IDs,Gene_names,Protein_names,3P_1,3P_2,3P_3,SIC_1,SIC_2,SIC_3
A7E2V4,ZSWIM8,Zinc finger SWIM domain-containing protein 8,0,2261100,0,0,0,1216300
A8CG34;Q96HA1;Q6PJE2;A6NF01,POM121C;POM121,Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121,3648300,5826900,5756800,5284000,5166900,3560300
Q9NQA3;C4AMC7;Q6VEQ5;A8K0Z3;A8MWX3,WASH6P;WASH3P;WASH2P;WASH1;WASH4P,WAS protein family homolog 6;Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 1;Putative WAS protein family homolog 4,20762000,17773000,16282000,19610000,16867000,11826000
A8K855,EFCAB7,EF-hand calcium-binding domain-containing protein 7,2842400,2175900,3123600,1870300,0,0
A8MVW0,FAM171A2,Protein FAM171A2,2257500,0,0,0,2884800,3173100
A8MW92,PHF20L1,PHD finger protein 20-like protein 1,0,0,0,0,0,1104900
P62308;A8MWD9,SNRPG;SNRPGP15,Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15,0,0,0,0,0,9095700
A8MWY0,KIAA1324L,UPF0577 protein KIAA1324-like,0,0,0,5159900,5401900,4947100
A8MXV4,NUDT19,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",2918700,3213400,4302800,0,3588100,3578200
A9UHW6,MIF4GD,MIF4G domain-containing protein,6022100,0,0,0,0,0
B1AK53,ESPN,Espin,13228000,21867000,15264000,10084000,11558000,0
B2RTY4,MYO9A,Unconventional myosin-IXa,3560200,6864700,7779900,10884000,8006400,7034500
B3KNS4,hCG_2043597,,0,0,0,0,0,2092400
P0CG08;B7ZAQ6,GPR89B;GPR89A,Golgi pH regulator B;Golgi pH regulator A,0,0,0,0,6326600,0
C9JLW8,FAM195B,Protein FAM195B,18094000,14099000,18813000,6511500,4997700,6248200
E9PAV3;Q9H009,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",363340000,389440000,312270000,505970000,612980000,412790000
H3BP13;Q9UL33,TRAPPC2L,Trafficking protein particle complex subunit 2-like protein,3890600,4392100,4334600,3814500,5441800,4238100
L0R819,ASNSD1,,0,0,3234100,0,0,0
M5A8F1,ERVH48-1,Suppressyn,0,0,0,2135700,3802800,2254300
O00115,DNASE2,Deoxyribonuclease-2-alpha,52895000,45818000,68165000,15717000,9214500,13106000
O00116,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",123260000,114050000,125500000,103870000,104050000,97199000
O00139,KIF2A,Kinesin-like protein KIF2A,59854000,60428000,71924000,64124000,61692000,54178000
O00148,DDX39A,ATP-dependent RNA helicase DDX39A,24002000,16602000,13894000,72667000,68081000,73396000
O00151,PDLIM1,PDZ and LIM domain protein 1,21007000,22787000,19014000,15187000,15791000,10329000
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,302480000,267970000,258930000,410390000,436060000,390800000
O00159,MYO1C,Unconventional myosin-Ic,11332000,14534000,9628800,17886000,16580000,17787000
O00161,SNAP23,Synaptosomal-associated protein 23,16997000,19552000,16992000,15725000,13897000,19829000
O00165,HAX1,HCLS1-associated protein X-1,0,0,0,0,0,1394000
O00170,AIP,AH receptor-interacting protein,49005000,50240000,37559000,58836000,65911000,43376000
O00178,GTPBP1,GTP-binding protein 1,29589000,28616000,29874000,34914000,39318000,40175000
O00180,KCNK1,Potassium channel subfamily K member 1,0,0,0,0,0,772980
O00186,STXBP3,Syntaxin-binding protein 3,57577000,64790000,61737000,38996000,39805000,42451000
O00192,ARVCF,Armadillo repeat protein deleted in velo-cardio-facial syndrome,30319000,35211000,40935000,25183000,23608000,24091000
O00193,SMAP,Small acidic protein,36423000,40400000,32453000,34296000,50888000,39097000
O00194,RAB27B,Ras-related protein Rab-27B,0,0,179400,0,0,0
O00203,AP3B1,AP-3 complex subunit beta-1,80470000,93363000,74278000,79149000,74413000,78887000
O00213,APBB1,Amyloid beta A4 precursor protein-binding family B member 1,4774100,5471900,3404400,7052600,8438400,6309300
O00214,LGALS8,Galectin-8,0,0,0,0,0,1240900
O00217,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",51459000,68699000,63574000,45537000,61824000,73331000
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,588490000,492610000,462870000,475900000,531800000,476070000
O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12,209460000,241450000,150830000,291130000,298050000,266510000
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,78366000,61424000,71146000,36950000,40447000,34700000
O00244,ATOX1,Copper transport protein ATOX1,85541000,57014000,48642000,39318000,42359000,38790000
O00253,AGRP,Agouti-related protein,0,2506400,0,0,0,0
O00255,MEN1,Menin,0,0,4006700,0,0,6250900
O00257,CBX4,E3 SUMO-protein ligase CBX4,9596700,0,0,0,9532400,15438000
O00258,WRB,Tail-anchored protein insertion receptor WRB,1847900,4301300,0,4628400,9856700,3125000
O00264,PGRMC1,Membrane-associated progesterone receptor component 1,234440000,240550000,300210000,367210000,303780000,421700000
O00267,SUPT5H,Transcription elongation factor SPT5,46208000,52894000,56108000,91557000,87538000,88475000
O00268,TAF4,Transcription initiation factor TFIID subunit 4,0,0,0,0,0,1228500
O00273,DFFA,DNA fragmentation factor subunit alpha,17353000,16047000,9921300,17415000,16465000,15037000
O00291,HIP1,Huntingtin-interacting protein 1,47214000,45473000,55494000,36597000,32785000,39554000
O00292,LEFTY2,Left-right determination factor 2,0,0,0,8508700,7684100,10458000
O00299,CLIC1,Chloride intracellular channel protein 1,1062100000,864210000,858490000,1038000000,884970000,979840000
O00303,EIF3F,Eukaryotic translation initiation factor 3 subunit F,126650000,96834000,130560000,112380000,102370000,112880000
O00308,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2,0,0,0,0,736490,0
O00311,CDC7,Cell division cycle 7-related protein kinase,0,0,0,0,0,0
O00330,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",70707000,92703000,69545000,117710000,115570000,93419000
O00399,DCTN6,Dynactin subunit 6,5546100,3079600,2415400,2080700,1847000,0
O00400,SLC33A1,Acetyl-coenzyme A transporter 1,98194000,113410000,119050000,121670000,115410000,129320000
O00401,WASL,Neural Wiskott-Aldrich syndrome protein,15284000,15460000,8591200,17530000,18562000,13110000
O00410,IPO5,Importin-5,706960000,724450000,570900000,745950000,845410000,714430000
O00411,POLRMT,"DNA-directed RNA polymerase, mitochondrial",0,1590500,2204400,3176800,4296100,4034700
O00422,SAP18,Histone deacetylase complex subunit SAP18,25430000,28736000,36569000,52656000,46769000,51083000
O00423,EML1,Echinoderm microtubule-associated protein-like 1,4143800,2713400,3372400,4010200,3969200,3160700
O00425,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,227260000,254100000,208090000,912400000,1077200000,844870000
O00429,DNM1L,Dynamin-1-like protein,142020000,141270000,146250000,163900000,162510000,161600000
O00442,RTCA,RNA 3-terminal phosphate cyclase,43551000,37413000,31720000,55657000,66974000,44327000
O00443,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,4462400,4376100,2844800,5679800,5140500,4336600
O00458,IFRD1,Interferon-related developmental regulator 1,4042700,1882800,0,0,0,0
O00459,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,3054700,0,0,0,4065400,4509700
O00461,GOLIM4,Golgi integral membrane protein 4,9439400,5574900,8469300,5058500,5737700,4931900
O00462,MANBA,Beta-mannosidase,22680000,30098000,27084000,20504000,18178000,19201000
O00468,AGRN,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,184720000,225300000,192800000,270300000,279360000,294760000
O00469,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",5854200,5971200,6059000,2914100,3721500,4830900
O00471,EXOC5,Exocyst complex component 5,30350000,28313000,24059000,26722000,27746000,25834000
O00478;P78410;O00481,BTN3A3,Butyrophilin subfamily 3 member A3,6645900,6374700,6306000,0,0,0
O00483,NDUFA4,Cytochrome c oxidase subunit NDUFA4,54581000,53811000,91889000,9609400,9028500,10633000
O00487,PSMD14,26S proteasome non-ATPase regulatory subunit 14,115900000,112030000,114850000,134200000,138130000,124610000
O00499;Q9UBW5,BIN1,Myc box-dependent-interacting protein 1,34081000,37142000,24951000,24848000,37239000,22345000
O00505,KPNA3,Importin subunit alpha-4,111660000,111000000,86513000,131100000,159310000,142670000
O00507,USP9Y,Probable ubiquitin carboxyl-terminal hydrolase FAF-Y,0,0,0,0,600840,0
O00512,BCL9,B-cell CLL/lymphoma 9 protein,0,0,1461700,1836500,2751200,0
O00533,CHL1,Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein,29443000,32553000,31524000,0,0,0
O00534,VWA5A,von Willebrand factor A domain-containing protein 5A,11199000,7119000,6769600,6951600,6462300,5057900
O00541,PES1,Pescadillo homolog,16823000,24691000,25175000,39419000,36282000,50602000
O00559,EBAG9,Receptor-binding cancer antigen expressed on SiSo cells,0,2507100,0,0,0,0
O00560,SDCBP,Syntenin-1,100540000,116500000,102730000,126880000,123410000,118670000
O00562,PITPNM1,Membrane-associated phosphatidylinositol transfer protein 1,13850000,19724000,18480000,5838700,4431000,2943000
O00566,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10,4049100,4906500,6372200,12491000,15618000,13148000
O00567,NOP56,Nucleolar protein 56,194430000,180550000,228270000,433700000,398100000,514640000
O00571;Q9NQI0,DDX3X,ATP-dependent RNA helicase DDX3X,186730000,168400000,154390000,238900000,226150000,235520000
O00584,RNASET2,Ribonuclease T2,35663000,34982000,34941000,39807000,33139000,29282000
O00592,PODXL,Podocalyxin,28875000,37409000,45205000,80105000,57818000,60612000
O00622,CYR61,Protein CYR61,3990900,4223600,0,3332000,2895100,3486700
O00623,PEX12,Peroxisome assembly protein 12,0,4908100,4322500,0,0,0
O00625,PIR,Pirin,15867000,15199000,13743000,5102500,6029800,4858500
O00629,KPNA4,Importin subunit alpha-3,29609000,31558000,14763000,17639000,21513000,20744000
O00634,NTN3,Netrin-3,0,0,0,343820,0,0
O00712,NFIB,Nuclear factor 1 B-type,861520,0,0,0,0,0
O00743,PPP6C,"Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed",14633000,20145000,16596000,26244000,25904000,26992000
O00750,PIK3C2B,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,0,0,0,5449500,5423500,4681400
O00754,MAN2B1,Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide,191340000,205370000,227170000,42641000,35812000,36015000
O00755,WNT7A,Protein Wnt-7a,22043000,16277000,23178000,30828000,25730000,33931000
O00762,UBE2C,Ubiquitin-conjugating enzyme E2 C,5586800,0,0,21314000,31701000,28496000
O00764,PDXK,Pyridoxal kinase,125840000,92881000,110130000,69500000,73570000,74611000
O00767,SCD,Acyl-CoA desaturase,21041000,13922000,24732000,13283000,11406000,9585500
O14490,DLGAP1,Disks large-associated protein 1,1115800,0,0,1070800,0,1001200
O14497,ARID1A,AT-rich interactive domain-containing protein 1A,12656000,17023000,17032000,37083000,36826000,38285000
O14521,SDHD,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",0,0,0,1182900,0,0
O14530,TXNDC9,Thioredoxin domain-containing protein 9,23487000,18740000,20746000,23201000,26923000,23175000
O14531,DPYSL4,Dihydropyrimidinase-related protein 4,366830000,261030000,249460000,368400000,399160000,375410000
O14545,TRAFD1,TRAF-type zinc finger domain-containing protein 1,3244800,3278500,3094700,3773800,3816900,4706100
O14548,COX7A2L,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",10154000,8429700,12711000,7515100,6261900,6786200
O14561,NDUFAB1,"Acyl carrier protein, mitochondrial",55165000,56010000,76545000,50611000,51330000,49664000
O14562,UBFD1,Ubiquitin domain-containing protein UBFD1,33649000,36133000,32616000,26708000,27754000,19842000
O14578,CIT,Citron Rho-interacting kinase,0,0,0,2220900,2713100,2904600
O14579,COPE,Coatomer subunit epsilon,77586000,77457000,59943000,56152000,58974000,52806000
O14594,NCAN,Neurocan core protein,0,0,0,0,0,2144200
O14607;O15550,UTY;KDM6A,Histone demethylase UTY;Lysine-specific demethylase 6A,0,0,0,2163900,2059000,2083100
O14617,AP3D1,AP-3 complex subunit delta-1,66184000,68396000,52019000,62003000,72085000,58298000
O14618,CCS,Copper chaperone for superoxide dismutase,13189000,10469000,12557000,11983000,12297000,18494000
O14628,ZNF195,Zinc finger protein 195,0,0,0,0,0,1010000
O14639,ABLIM1,Actin-binding LIM protein 1,5472500,7203100,5692900,4958100,4936000,0
O14641,DVL2,Segment polarity protein dishevelled homolog DVL-2,7062600,7312900,0,8504100,8142100,7557800
O14645,DNALI1,Axonemal dynein light intermediate polypeptide 1,461210,0,0,0,0,0
O14646,CHD1,Chromodomain-helicase-DNA-binding protein 1,15975000,18251000,20864000,42079000,35625000,41341000
O14647,CHD2,Chromodomain-helicase-DNA-binding protein 2,17077000,16050000,13451000,23292000,25396000,20294000
O14653,GOSR2,Golgi SNAP receptor complex member 2,12115000,12465000,12781000,6372400,6747200,7909500
O14656,TOR1A,Torsin-1A,30018000,31686000,29937000,22795000,21151000,26174000
O14657,TOR1B,Torsin-1B,14748000,22922000,29209000,18893000,23447000,16814000
O14662,STX16,Syntaxin-16,0,0,375070,0,0,0
O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,7062700,6710300,6155800,11285000,12690000,14252000
O14681,EI24,Etoposide-induced protein 2.4 homolog,20428000,21629000,25851000,22747000,32657000,23505000
O14683,TP53I11,Tumor protein p53-inducible protein 11,0,0,0,10433000,0,9278100
O14686,KMT2D,Histone-lysine N-methyltransferase 2D,0,0,430600,0,0,0
O14713,ITGB1BP1,Integrin beta-1-binding protein 1,0,0,0,0,0,823020
Q99666;O14715,RGPD5;RGPD8,RANBP2-like and GRIP domain-containing protein 5/6;RANBP2-like and GRIP domain-containing protein 8,0,0,0,0,0,991250
O14727,APAF1,Apoptotic protease-activating factor 1,0,0,0,0,2679100,0
O14730,RIOK3,Serine/threonine-protein kinase RIO3,7716400,7846900,5575500,10381000,9961500,11899000
O14732,IMPA2,Inositol monophosphatase 2,0,0,0,2679600,2133800,2408100
O14734,ACOT8,Acyl-coenzyme A thioesterase 8,7844900,9483600,12059000,5599000,4435300,5080400
O14737,PDCD5,Programmed cell death protein 5,120200000,99121000,83851000,98401000,115090000,93043000
O14744,PRMT5,"Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed",73935000,50507000,63425000,96813000,103000000,101980000
O14745,SLC9A3R1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,22294000,24649000,25870000,38896000,38522000,30553000
O14757,CHEK1,Serine/threonine-protein kinase Chk1,0,0,0,0,5663300,0
O14763,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,1788700,2097400,1748600,4590400,7349000,2648600
O14770,MEIS2,Homeobox protein Meis2,0,5428100,0,6820900,8782400,6424500
O14772,FPGT,Fucose-1-phosphate guanylyltransferase,0,0,0,1532300,0,0
O14773,TPP1,Tripeptidyl-peptidase 1,100410000,95234000,142980000,28731000,20394000,25033000
O14776;Q5VWI1,TCERG1,Transcription elongation regulator 1,87897000,96403000,110060000,199500000,184650000,186040000
O14777,NDC80,Kinetochore protein NDC80 homolog,5185100,7825300,4531700,16639000,23914000,7176400
O14786,NRP1,Neuropilin-1,17040000,12259000,17434000,0,0,0
O14787,TNPO2,Transportin-2,53565000,60397000,36863000,46524000,55013000,40382000
O14795;Q9UPW8;Q8NB66,UNC13B,Protein unc-13 homolog B,4916900,5825100,5450900,7699200,8179400,7055200
O14802,POLR3A,DNA-directed RNA polymerase III subunit RPC1,3037300,2910700,4674000,6518700,5432600,4488900
O14810,CPLX1,Complexin-1,0,0,0,2614000,2666900,0
O14818,PSMA7,Proteasome subunit alpha type-7,561700000,580460000,580630000,461270000,500650000,479400000
O14828,SCAMP3,Secretory carrier-associated membrane protein 3,77501000,80779000,78408000,60032000,81545000,55927000
O14832,PHYH,"Phytanoyl-CoA dioxygenase, peroxisomal",0,0,0,0,0,4146200
O14874,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",12426000,15734000,11145000,16155000,13860000,13116000
O14879,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,0,0,0,1736100,0,1889100
O14893,GEMIN2,Gem-associated protein 2,6252900,5560200,7180700,8214300,9320600,5496600
O14907,TAX1BP3,Tax1-binding protein 3,15806000,0,0,0,8822100,0
O14908,GIPC1,PDZ domain-containing protein GIPC1,3462600,3406300,2913300,2334100,2537300,2499100
O14910,LIN7A,Protein lin-7 homolog A,6035500,6057900,8847400,3754500,3057700,3669700
O14920,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,10270000,11902000,8695100,7807800,9434400,6407000
O14925;Q5SRD1,TIMM23;TIMM23B,Mitochondrial import inner membrane translocase subunit Tim23;Putative mitochondrial import inner membrane translocase subunit Tim23B,6142700,7954300,4641900,12361000,0,12943000
O14929,HAT1,Histone acetyltransferase type B catalytic subunit,9713900,11005000,10654000,22355000,27399000,24489000
O14933,UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6,0,0,0,1794000,0,0
O14936,CASK,Peripheral plasma membrane protein CASK,32249000,34447000,27736000,30433000,32786000,29445000
O14939,PLD2,Phospholipase D2,0,0,898050,0,1349400,0
O14949,UQCRQ,Cytochrome b-c1 complex subunit 8,24918000,21332000,29761000,22648000,17523000,35008000
P19105;O14950;P24844,MYL12A;MYL12B;MYL9,Myosin regulatory light chain 12A;Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9,271900000,287490000,225120000,234100000,277190000,191360000
O14957,UQCR11,Cytochrome b-c1 complex subunit 10,0,0,0,0,0,5054400
O14964,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,45832000,39802000,47599000,31812000,23704000,29271000
O14966,RAB29,Ras-related protein Rab-7L1,7093700,9691400,9235600,7653600,7262100,5331100
O14967,CLGN,Calmegin,25898000,25647000,22445000,37520000,29726000,29035000
O14972,DSCR3,Down syndrome critical region protein 3,9513100,10467000,9240900,11442000,12712000,9713600
O14974,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,71977000,96297000,73349000,79191000,89633000,80575000
O14976,GAK,Cyclin-G-associated kinase,30096000,23310000,28120000,25732000,30318000,28826000
O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,522610000,523010000,504550000,752320000,785110000,677750000
O14980,XPO1,Exportin-1,294300000,211240000,244340000,373190000,370360000,367070000
O14981,BTAF1,TATA-binding protein-associated factor 172,11568000,16818000,13938000,21490000,25159000,24570000
O14994,SYN3,Synapsin-3,0,0,0,20612000,19359000,16288000
O15014,ZNF609,Zinc finger protein 609,0,0,0,0,3728600,0
O15020,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",26022000,28709000,28886000,39017000,43674000,45410000
O15027,SEC16A,Protein transport protein Sec16A,34947000,32362000,35220000,26723000,24880000,24579000
O15031;O60486,PLXNB2,Plexin-B2,73777000,78532000,80238000,46849000,40535000,42139000
O15040,TECPR2,Tectonin beta-propeller repeat-containing protein 2,0,0,0,0,0,1033900
O15042,U2SURP,U2 snRNP-associated SURP motif-containing protein,34733000,44061000,46644000,72601000,80469000,72775000
O15047,SETD1A,Histone-lysine N-methyltransferase SETD1A,950760,0,0,0,2106300,0
O15054,KDM6B,Lysine-specific demethylase 6B,0,6727400,3976000,14014000,9263500,0
O15061,SYNM,Synemin,235730000,194540000,221040000,7721600,7508800,7314900
O15066;O14782;Q9BVG8,KIF3B,"Kinesin-like protein KIF3B;Kinesin-like protein KIF3B, N-terminally processed",17550000,16878000,14654000,14980000,14524000,13475000
O15067,PFAS,Phosphoribosylformylglycinamidine synthase,50151000,46801000,44541000,96680000,95545000,101980000
O15068,MCF2L,Guanine nucleotide exchange factor DBS,0,1856300,0,5091800,3514700,2137600
O15069,NACAD,NAC-alpha domain-containing protein 1,32042000,31565000,29241000,19359000,21423000,18112000
O15075,DCLK1,Serine/threonine-protein kinase DCLK1,485890000,481830000,433870000,302660000,336750000,297750000
O15083,ERC2,ERC protein 2,0,0,0,2649600,3787700,0
O15084,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,5918000,5224700,6617000,7598700,12453000,7659300
O15085,ARHGEF11,Rho guanine nucleotide exchange factor 11,2940900,3492300,2787400,3027800,4115700,3322100
O15091,KIAA0391,Mitochondrial ribonuclease P protein 3,21980000,20387000,24820000,20970000,26746000,28465000
