Protein_IDs,Gene_names,Protein_names
O00425,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3
O00429,DNM1L,Dynamin-1-like protein
O00442,RTCA,RNA 3-terminal phosphate cyclase
O00443,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha
O00459,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta
O00461,GOLIM4,Golgi integral membrane protein 4
O00462,MANBA,Beta-mannosidase
O00468,AGRN,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment
O00469,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
O00471,EXOC5,Exocyst complex component 5
O00478;P78410;O00481,BTN3A3,Butyrophilin subfamily 3 member A3
O00483,NDUFA4,Cytochrome c oxidase subunit NDUFA4
O00487,PSMD14,26S proteasome non-ATPase regulatory subunit 14
O00499;Q9UBW5,BIN1,Myc box-dependent-interacting protein 1
O00505,KPNA3,Importin subunit alpha-4
O00512,BCL9,B-cell CLL/lymphoma 9 protein
O00533,CHL1,Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein
O00534,VWA5A,von Willebrand factor A domain-containing protein 5A
O00541,PES1,Pescadillo homolog
O00560,SDCBP,Syntenin-1
O00562,PITPNM1,Membrane-associated phosphatidylinositol transfer protein 1
O00566,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10
O00567,NOP56,Nucleolar protein 56
O00571;Q9NQI0,DDX3X,ATP-dependent RNA helicase DDX3X
O00584,RNASET2,Ribonuclease T2
O00592,PODXL,Podocalyxin
O00622,CYR61,Protein CYR61
O00625,PIR,Pirin
O00629,KPNA4,Importin subunit alpha-3
O00743,PPP6C,"Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed"
O00750,PIK3C2B,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta
O00754,MAN2B1,Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide
O00755,WNT7A,Protein Wnt-7a
O00762,UBE2C,Ubiquitin-conjugating enzyme E2 C
O00764,PDXK,Pyridoxal kinase
O00767,SCD,Acyl-CoA desaturase
O14490,DLGAP1,Disks large-associated protein 1
O14497,ARID1A,AT-rich interactive domain-containing protein 1A
O14530,TXNDC9,Thioredoxin domain-containing protein 9
O14531,DPYSL4,Dihydropyrimidinase-related protein 4
O14545,TRAFD1,TRAF-type zinc finger domain-containing protein 1
O14548,COX7A2L,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial"
O14561,NDUFAB1,"Acyl carrier protein, mitochondrial"
O14562,UBFD1,Ubiquitin domain-containing protein UBFD1
O14578,CIT,Citron Rho-interacting kinase
O14579,COPE,Coatomer subunit epsilon
O14607;O15550,UTY;KDM6A,Histone demethylase UTY;Lysine-specific demethylase 6A
O14617,AP3D1,AP-3 complex subunit delta-1
O14618,CCS,Copper chaperone for superoxide dismutase
O14639,ABLIM1,Actin-binding LIM protein 1
O14641,DVL2,Segment polarity protein dishevelled homolog DVL-2
O14646,CHD1,Chromodomain-helicase-DNA-binding protein 1
O14647,CHD2,Chromodomain-helicase-DNA-binding protein 2
O14653,GOSR2,Golgi SNAP receptor complex member 2
O14656,TOR1A,Torsin-1A
O14657,TOR1B,Torsin-1B
O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10
O14681,EI24,Etoposide-induced protein 2.4 homolog
O14730,RIOK3,Serine/threonine-protein kinase RIO3
O14732,IMPA2,Inositol monophosphatase 2
O14734,ACOT8,Acyl-coenzyme A thioesterase 8
O14737,PDCD5,Programmed cell death protein 5
O14744,PRMT5,"Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed"
O14745,SLC9A3R1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1
O14763,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B
O14770,MEIS2,Homeobox protein Meis2
O14773,TPP1,Tripeptidyl-peptidase 1
O14776;Q5VWI1,TCERG1,Transcription elongation regulator 1
O14777,NDC80,Kinetochore protein NDC80 homolog
O14786,NRP1,Neuropilin-1
O14787,TNPO2,Transportin-2
O14795;Q9UPW8;Q8NB66,UNC13B,Protein unc-13 homolog B
O14802,POLR3A,DNA-directed RNA polymerase III subunit RPC1
O14818,PSMA7,Proteasome subunit alpha type-7
O14828,SCAMP3,Secretory carrier-associated membrane protein 3
O14874,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial"
O14893,GEMIN2,Gem-associated protein 2
O14908,GIPC1,PDZ domain-containing protein GIPC1
O14910,LIN7A,Protein lin-7 homolog A
O14920,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta
O14925;Q5SRD1,TIMM23;TIMM23B,Mitochondrial import inner membrane translocase subunit Tim23;Putative mitochondrial import inner membrane translocase subunit Tim23B
O14929,HAT1,Histone acetyltransferase type B catalytic subunit
O14936,CASK,Peripheral plasma membrane protein CASK
O14949,UQCRQ,Cytochrome b-c1 complex subunit 8
P19105;O14950;P24844,MYL12A;MYL12B;MYL9,Myosin regulatory light chain 12A;Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9
O14964,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate
O14966,RAB29,Ras-related protein Rab-7L1
O14967,CLGN,Calmegin
O14972,DSCR3,Down syndrome critical region protein 3
O14974,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A
O14976,GAK,Cyclin-G-associated kinase
O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like
O14980,XPO1,Exportin-1
O14981,BTAF1,TATA-binding protein-associated factor 172
O14994,SYN3,Synapsin-3
O15020,SPTBN2,"Spectrin beta chain, non-erythrocytic 2"
O15027,SEC16A,Protein transport protein Sec16A
O15031;O60486,PLXNB2,Plexin-B2
O15042,U2SURP,U2 snRNP-associated SURP motif-containing protein
O15054,KDM6B,Lysine-specific demethylase 6B
O15061,SYNM,Synemin
O15066;O14782;Q9BVG8,KIF3B,"Kinesin-like protein KIF3B;Kinesin-like protein KIF3B, N-terminally processed"
O15067,PFAS,Phosphoribosylformylglycinamidine synthase
O15068,MCF2L,Guanine nucleotide exchange factor DBS
O15069,NACAD,NAC-alpha domain-containing protein 1
O15075,DCLK1,Serine/threonine-protein kinase DCLK1
O15084,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A
O15085,ARHGEF11,Rho guanine nucleotide exchange factor 11
O15091,KIAA0391,Mitochondrial ribonuclease P protein 3
O15111,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha
O15116,LSM1,U6 snRNA-associated Sm-like protein LSm1
O15118,NPC1,Niemann-Pick C1 protein
O15121,DEGS1,Sphingolipid delta(4)-desaturase DES1
O15126,SCAMP1,Secretory carrier-associated membrane protein 1
O15143,ARPC1B,Actin-related protein 2/3 complex subunit 1B
O15144,ARPC2,Actin-related protein 2/3 complex subunit 2
O15145,ARPC3,Actin-related protein 2/3 complex subunit 3
O15155,BET1,BET1 homolog
O15160,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1
O15164,TRIM24,Transcription intermediary factor 1-alpha
O15173,PGRMC2,Membrane-associated progesterone receptor component 2
O15212,PFDN6,Prefoldin subunit 6
O15213,WDR46,WD repeat-containing protein 46
O15217,GSTA4,Glutathione S-transferase A4
O15226,NKRF,NF-kappa-B-repressing factor
O15228,GNPAT,Dihydroxyacetone phosphate acyltransferase
O15230,LAMA5,Laminin subunit alpha-5
O15231,ZNF185,Zinc finger protein 185
O15234,CASC3,Protein CASC3
O15240,VGF,Neurosecretory protein VGF;Neuroendocrine regulatory peptide-1;Neuroendocrine regulatory peptide-2;Antimicrobial peptide VGF[554-577]
O15254,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3
O15258,RER1,Protein RER1
O15260,SURF4,Surfeit locus protein 4
O15269,SPTLC1,Serine palmitoyltransferase 1
O15270,SPTLC2,Serine palmitoyltransferase 2
O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
O15305,PMM2,Phosphomannomutase 2
O15344,MID1,E3 ubiquitin-protein ligase Midline-1
O15347,HMGB3,High mobility group protein B3
O15355,PPM1G,Protein phosphatase 1G
O15357,INPPL1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2"
O15371,EIF3D,Eukaryotic translation initiation factor 3 subunit D
O15372,EIF3H,Eukaryotic translation initiation factor 3 subunit H
O15381,NVL,Nuclear valosin-containing protein-like
O15382,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial"
O15394,NCAM2,Neural cell adhesion molecule 2
O15397,IPO8,Importin-8
O15400,STX7,Syntaxin-7
O15439,ABCC4,Multidrug resistance-associated protein 4
O15446,CD3EAP,DNA-directed RNA polymerase I subunit RPA34
O15460,P4HA2,Prolyl 4-hydroxylase subunit alpha-2
O15484,CAPN5,Calpain-5
O15498,YKT6,Synaptobrevin homolog YKT6
O15511,ARPC5,Actin-related protein 2/3 complex subunit 5
O15523,DDX3Y,ATP-dependent RNA helicase DDX3Y
O15525;O60675,MAFG;MAFK,Transcription factor MafG;Transcription factor MafK
O15530;Q6A1A2,PDPK1;PDPK2P,3-phosphoinositide-dependent protein kinase 1;Putative 3-phosphoinositide-dependent protein kinase 2
O15540,FABP7,"Fatty acid-binding protein, brain"
O15541;Q8IZP6,RNF113A,RING finger protein 113A
O43143,DHX15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15
O43148,RNMT,mRNA cap guanine-N7 methyltransferase
O43149,ZZEF1,Zinc finger ZZ-type and EF-hand domain-containing protein 1
O43150,ASAP2,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2"
O43157;Q9ULL4,PLXNB1,Plexin-B1
O43159,RRP8,Ribosomal RNA-processing protein 8
O43164,PJA2,E3 ubiquitin-protein ligase Praja-2
O43166,SIPA1L1,Signal-induced proliferation-associated 1-like protein 1
O43169,CYB5B,Cytochrome b5 type B
O43172,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4
O43175,PHGDH,D-3-phosphoglycerate dehydrogenase
O43181,NDUFS4,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial"
O43189,PHF1,PHD finger protein 1
O43237,DYNC1LI2,Cytoplasmic dynein 1 light intermediate chain 2
O43242,PSMD3,26S proteasome non-ATPase regulatory subunit 3
O43252;O95340,PAPSS1,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase
O43264,ZW10,Centromere/kinetochore protein zw10 homolog
O43272,PRODH,"Proline dehydrogenase 1, mitochondrial"
O43290,SART1,U4/U6.U5 tri-snRNP-associated protein 1
O43295,SRGAP3,SLIT-ROBO Rho GTPase-activating protein 3
O43299,AP5Z1,AP-5 complex subunit zeta-1
O43301,HSPA12A,Heat shock 70 kDa protein 12A
O43303,CCP110,Centriolar coiled-coil protein of 110 kDa
O43314;Q6PFW1,PPIP5K2,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2
O43318,MAP3K7,Mitogen-activated protein kinase kinase kinase 7
O43324,EEF1E1,Eukaryotic translation elongation factor 1 epsilon-1
O43325,LYRM1,LYR motif-containing protein 1
O43347,MSI1,RNA-binding protein Musashi homolog 1
O43374;C9J798,RASA4;RASA4B,Ras GTPase-activating protein 4;Putative Ras GTPase-activating protein 4B
O43390,HNRNPR,Heterogeneous nuclear ribonucleoprotein R
O43395,PRPF3,U4/U6 small nuclear ribonucleoprotein Prp3
O43396,TXNL1,Thioredoxin-like protein 1
O43399,TPD52L2,Tumor protein D54
O43402,EMC8,ER membrane protein complex subunit 8
O43414,ERI3,ERI1 exoribonuclease 3
O43426,SYNJ1,Synaptojanin-1
O43427,FIBP,Acidic fibroblast growth factor intracellular-binding protein
O43432;O43439,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3
O43447,PPIH,Peptidyl-prolyl cis-trans isomerase H
O43464;P83110,HTRA2,"Serine protease HTRA2, mitochondrial"
O43474,KLF4,Krueppel-like factor 4
O43488;Q8NHP1;O95154,AKR7A2,Aflatoxin B1 aldehyde reductase member 2
O43491,EPB41L2,Band 4.1-like protein 2
O43504,LAMTOR5,Ragulator complex protein LAMTOR5
O43505,B4GAT1,"Beta-1,4-glucuronyltransferase 1"
O43567,RNF13,E3 ubiquitin-protein ligase RNF13
O43572,AKAP10,"A-kinase anchor protein 10, mitochondrial"
O43583,DENR,Density-regulated protein
O43592,XPOT,Exportin-T
O43602,DCX,Neuronal migration protein doublecortin
O43615,TIMM44,Mitochondrial import inner membrane translocase subunit TIM44
O43617,TRAPPC3,Trafficking protein particle complex subunit 3
O43633,CHMP2A,Charged multivesicular body protein 2a
O43639,NCK2,Cytoplasmic protein NCK2
O43657,TSPAN6,Tetraspanin-6
O43660,PLRG1,Pleiotropic regulator 1
O43670,ZNF207,BUB3-interacting and GLEBS motif-containing protein ZNF207
O43674,NDUFB5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial"
O43676,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3
O43678,NDUFA2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2
O43681,ASNA1,ATPase ASNA1
O43684,BUB3,Mitotic checkpoint protein BUB3
O43707;Q08043,ACTN4,Alpha-actinin-4
O43708,GSTZ1,Maleylacetoacetate isomerase
O43719,HTATSF1,HIV Tat-specific factor 1
O43747,AP1G1,AP-1 complex subunit gamma-1
O43752,STX6,Syntaxin-6
O43765,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha
O43768,ENSA,Alpha-endosulfine
O43772,SLC25A20,Mitochondrial carnitine/acylcarnitine carrier protein
O43776,NARS,"Asparagine--tRNA ligase, cytoplasmic"
O43795;Q9UBC5,MYO1B,Unconventional myosin-Ib
O43809,NUDT21,Cleavage and polyadenylation specificity factor subunit 5
O43813,LANCL1,LanC-like protein 1
O43815,STRN,Striatin
O43818,RRP9,U3 small nucleolar RNA-interacting protein 2
O43823,AKAP8,A-kinase anchor protein 8
O43824,GTPBP6,Putative GTP-binding protein 6
O43837,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"
O43847,NRD1,Nardilysin
O43852,CALU,Calumenin
O43854,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3
O43865,AHCYL1,Putative adenosylhomocysteinase 2
O43896,KIF1C,Kinesin-like protein KIF1C
O43909,EXTL3,Exostosin-like 3
O43913,ORC5,Origin recognition complex subunit 5
O43920,NDUFS5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5
O43933,PEX1,Peroxisome biogenesis factor 1
O60216;Q9H4I0,RAD21,Double-strand-break repair protein rad21 homolog
O60218,AKR1B10,Aldo-keto reductase family 1 member B10
O60220,TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A
O60229,KALRN,Kalirin
O60231,DHX16,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16
O60232,SSSCA1,Sjoegren syndrome/scleroderma autoantigen 1
O60244,MED14,Mediator of RNA polymerase II transcription subunit 14
O60256,PRPSAP2,Phosphoribosyl pyrophosphate synthase-associated protein 2
O60264,SMARCA5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5
O60268,KIAA0513,Uncharacterized protein KIAA0513
O60271,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4
O60282,KIF5C,Kinesin heavy chain isoform 5C
O60287,URB1,Nucleolar pre-ribosomal-associated protein 1
O60306,AQR,Intron-binding protein aquarius
O60313,OPA1,"Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1"
O60315,ZEB2,Zinc finger E-box-binding homeobox 2
O60318,MCM3AP,Germinal-center associated nuclear protein
O60333,KIF1B,Kinesin-like protein KIF1B
O60341,KDM1A,Lysine-specific histone demethylase 1A
O60427,FADS1,Fatty acid desaturase 1
O60443,DFNA5,Non-syndromic hearing impairment protein 5
O60462,NRP2,Neuropilin-2
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4
O60493,SNX3,Sorting nexin-3
O60502,MGEA5,Protein O-GlcNAcase
O60506,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q
O60507,TPST1,Protein-tyrosine sulfotransferase 1
O60508,CDC40,Pre-mRNA-processing factor 17
O60518,RANBP6,Ran-binding protein 6
O60524,NEMF,Nuclear export mediator factor NEMF
O60547,GMDS,"GDP-mannose 4,6 dehydratase"
O60551,NMT2,Glycylpeptide N-tetradecanoyltransferase 2
O60568,PLOD3,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
O60573,EIF4E2,Eukaryotic translation initiation factor 4E type 2
O60610,DIAPH1,Protein diaphanous homolog 1
O60613,SEP15,15 kDa selenoprotein
O60641,SNAP91,Clathrin coat assembly protein AP180
O60645,EXOC3,Exocyst complex component 3
O60664,PLIN3,Perilipin-3
O60678,PRMT3,Protein arginine N-methyltransferase 3
O60684,KPNA6,Importin subunit alpha-7
O60701,UGDH,UDP-glucose 6-dehydrogenase
O60704,TPST2,Protein-tyrosine sulfotransferase 2
O60716,CTNND1,Catenin delta-1
O60749,SNX2,Sorting nexin-2
O60762,DPM1,Dolichol-phosphate mannosyltransferase subunit 1
O60763,USO1,General vesicular transport factor p115
Q99877;Q93079;P62807;P58876;O60814;Q99879;Q5QNW6;P57053;Q99880;Q96A08;A0A2R8Y619,HIST1H2BN;HIST1H2BH;HIST1H2BC;HIST1H2BD;HIST1H2BK;HIST1H2BM;HIST2H2BF;H2BFS;HIST1H2BL,Histone H2B type 1-N;Histone H2B type 1-H;Histone H2B type 1-C/E/F/G/I;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-M;Histone H2B type 2-F;Histone H2B type F-S;Histone H2B type 1-L
O60825;Q16875;P16118,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2;6-phosphofructo-2-kinase;Fructose-2,6-bisphosphatase"
O60826,CCDC22,Coiled-coil domain-containing protein 22
O60828,PQBP1,Polyglutamine-binding protein 1
O60830;Q99595,TIMM17B,Mitochondrial import inner membrane translocase subunit Tim17-B
O60831,PRAF2,PRA1 family protein 2
O60832,DKC1,H/ACA ribonucleoprotein complex subunit 4
O60841,EIF5B,Eukaryotic translation initiation factor 5B
O60858,TRIM13,E3 ubiquitin-protein ligase TRIM13
O60861,GAS7,Growth arrest-specific protein 7
O60869,EDF1,Endothelial differentiation-related factor 1
O60879,DIAPH2,Protein diaphanous homolog 2
O60884,DNAJA2,DnaJ homolog subfamily A member 2
O60885,BRD4,Bromodomain-containing protein 4
O60888,CUTA,Protein CutA
O60921,HUS1,Checkpoint protein HUS1
O60925,PFDN1,Prefoldin subunit 1
O60934,NBN,Nibrin
O60936,NOL3,Nucleolar protein 3
O60942,RNGTT,mRNA-capping enzyme;Polynucleotide 5-triphosphatase;mRNA guanylyltransferase
O75027,ABCB7,"ATP-binding cassette sub-family B member 7, mitochondrial"
O75037,KIF21B,Kinesin-like protein KIF21B
O75044;P0DMP2;P0DJJ0,SRGAP2;SRGAP2B;SRGAP2C,SLIT-ROBO Rho GTPase-activating protein 2;SLIT-ROBO Rho GTPase-activating protein 2B;SLIT-ROBO Rho GTPase-activating protein 2C
O75051,PLXNA2,Plexin-A2
O75052,NOS1AP,Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein
O75054,IGSF3,Immunoglobulin superfamily member 3
O75061,DNAJC6,Putative tyrosine-protein phosphatase auxilin
O75083,WDR1,WD repeat-containing protein 1
O75093,SLIT1,Slit homolog 1 protein
O75110,ATP9A,Probable phospholipid-transporting ATPase IIA
O75116,ROCK2,Rho-associated protein kinase 2
O75122,CLASP2,CLIP-associating protein 2
O75127,PTCD1,"Pentatricopeptide repeat-containing protein 1, mitochondrial"
O75131,CPNE3,Copine-3
O75140,DEPDC5,DEP domain-containing protein 5
O75145,PPFIA3,Liprin-alpha-3
O75146,HIP1R,Huntingtin-interacting protein 1-related protein
O75147,OBSL1,Obscurin-like protein 1
O75150,RNF40,E3 ubiquitin-protein ligase BRE1B
O75151,PHF2,Lysine-specific demethylase PHF2
O75152,ZC3H11A,Zinc finger CCCH domain-containing protein 11A
O75153;Q9Y5I4,CLUH,Clustered mitochondria protein homolog
O75155,CAND2,Cullin-associated NEDD8-dissociated protein 2
O75165,DNAJC13,DnaJ homolog subfamily C member 13
O75170,PPP6R2,Serine/threonine-protein phosphatase 6 regulatory subunit 2
O75175,CNOT3,CCR4-NOT transcription complex subunit 3
O75179,ANKRD17,Ankyrin repeat domain-containing protein 17
O75182,SIN3B,Paired amphipathic helix protein Sin3b
O75190;Q8WWF6,DNAJB6,DnaJ homolog subfamily B member 6
O75208,COQ9,"Ubiquinone biosynthesis protein COQ9, mitochondrial"
O75223,GGCT,Gamma-glutamylcyclotransferase
O75251,NDUFS7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial"
O75306,NDUFS2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial"
O75312,ZPR1,Zinc finger protein ZPR1
O75323,GBAS,Protein NipSnap homolog 2
O75340,PDCD6,Programmed cell death protein 6
O75347,TBCA,Tubulin-specific chaperone A
O75348,ATP6V1G1,V-type proton ATPase subunit G 1
O75351,VPS4B,Vacuolar protein sorting-associated protein 4B
O75352,MPDU1,Mannose-P-dolichol utilization defect 1 protein
O75356,ENTPD5,Ectonucleoside triphosphate diphosphohydrolase 5
O75362,ZNF217,Zinc finger protein 217
O75367,H2AFY,Core histone macro-H2A.1
O75368,SH3BGRL,SH3 domain-binding glutamic acid-rich-like protein
O75369,FLNB,Filamin-B
O75380,NDUFS6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial"
O75381,PEX14,Peroxisomal membrane protein PEX14
O75382,TRIM3,Tripartite motif-containing protein 3
O75390,CS,"Citrate synthase, mitochondrial"
O75391,SPAG7,Sperm-associated antigen 7
O75394,MRPL33,"39S ribosomal protein L33, mitochondrial"
O75396,SEC22B,Vesicle-trafficking protein SEC22b
O75400,PRPF40A,Pre-mRNA-processing factor 40 homolog A
O75410,TACC1,Transforming acidic coiled-coil-containing protein 1
O75427,LRCH4,Leucine-rich repeat and calponin homology domain-containing protein 4
O75431,MTX2,Metaxin-2
O75436,VPS26A,Vacuolar protein sorting-associated protein 26A
O75438,NDUFB1,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1
O75439,PMPCB,Mitochondrial-processing peptidase subunit beta
